COC(=O)O	000	methyl hydrogen carbonate
CC(CO)C(C(Cc1ccccc1)N)O	04B	2-amino-1,2,4-trideoxy-4-methyl-1-phenyl-d-xylitol
CC(CO)C(C(Cc1ccccc1)NC(=O)C(Cc2ccc(cc2)OC)NC(=O)C(C)NC(=O)CN3CCOCC3)O	04C	1,2,4-trideoxy-4-methyl-2-{[n-(morpholin-4-ylacetyl)-l-alanyl-o-methyl-l-tyrosyl]amino}-1-phenyl-d-xylitol
CC(C)CC(C(C(C)CO)O)N	04D	(2r,3r,4s)-4-amino-2,6-dimethylheptane-1,3-diol
C(C(=O)O)I	04E	iodoacetic acid
C1CNC(=O)C1CC(C(O)S(=O)(=O)O)N	04F	(1s,2s)-2-amino-1-hydroxy-3-[(3s)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid
c1cc2c(cc1O)OC3=CC(=O)C=CC3=N2	04G	7-hydroxy-3h-phenoxazin-3-one
C1CC(CN(C1)C(=N)N)CN	04H	(3s)-3-(aminomethyl)piperidine-1-carboximidamide
c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N	04J	aminopterin
CCN(CC)CCOc1ccc(cc1)Nc2ncc3c(n2)N(C(=O)C(=C3)Oc4ccc(cc4)F)C	04K	2-({4-[2-(diethylamino)ethoxy]phenyl}amino)-6-(4-fluorophenoxy)-8-methylpyrido[2,3-d]pyrimidin-7(8h)-one
Cc1ccc(cc1C(=O)Nc2cc3c([nH]c(n3)c4ccccc4)nc2)NC(=O)C=Cc5ccccc5	04L	2-methyl-n-(2-phenyl-3h-imidazo[4,5-b]pyridin-6-yl)-5-{[(2e)-3-phenylprop-2-enoyl]amino}benzamide
CCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)S(=O)(=O)N3CCOCC3	04M	5-(morpholin-4-ylsulfonyl)-2-{[3-(octyloxy)benzyl]oxy}benzoic acid
c1ccc(cc1)C2OCC3C(O2)C(C(C(O3)O)N)O	04N	2-amino-2-deoxy-4,6-o-(phenylmethylidene)-alpha-d-glucopyranose
c1ccc(cc1)CCC2OCC3C(O2)C(C(C(O3)O)N)O	04O	2-amino-2-deoxy-4,6-o-[(1r)-3-phenylpropylidene]-alpha-d-glucopyranose
C1CC(CN(C1)C(=N)N)CO	04P	(3r)-3-(hydroxymethyl)piperidine-1-carboximidamide
c1ccc(cc1)CNCC(=O)O	04Q	n-benzylglycine
C1CCc2c(c(nn2CC(=O)O)C(F)(F)F)C1	04R	[3-(trifluoromethyl)-4,5,6,7-tetrahydro-1h-indazol-1-yl]acetic acid
C1CNCC1N	04S	(3r)-pyrrolidin-3-amine
CC(=O)Nc1ccc(cc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)C	04T	n-(4-{[4-(methylsulfonyl)-2-nitrophenyl]amino}phenyl)acetamide
C1C(CNC1C(=O)O)N=[N+]=N	04U	azanylidene-[(3s,5s)-5-carboxypyrrolidin-3-yl]imino-azanium
C1CC(NC1)C(=N)O	04V	(2s)-pyrrolidine-2-carboximidic acid
CCCCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)[N+](=O)[O-]	04W	2-{[3-(decyloxy)benzyl]oxy}-5-nitrobenzoic acid
C1COCCN1CC2=CCC(NC2)C(=O)O	04X	(2s)-5-(morpholin-4-ylmethyl)-1,2,3,6-tetrahydropyridine-2-carboxylic acid
COc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N	04Z	4-{[4-amino-5-(3-methoxybenzoyl)-1,3-thiazol-2-yl]amino}benzenesulfonamide
c1cc(c(cc1C#N)F)COc2ccc3cc(ccc3c2)S(=O)(=O)NC4CCC(CC4C(=O)O)C(=O)O	051	(1r,3r,4s)-4-[({6-[(4-cyano-2-fluorobenzyl)oxy]naphthalen-2-yl}sulfonyl)amino]cyclohexane-1,3-dicarboxylic acid
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c3nc(cc4NCCN5CCOCC5)Oc6ccccc6	052	n-cyclopropyl-2-methyl-4-(7-{[2-(morpholin-4-yl)ethyl]amino}-5-phenoxypyrazolo[1,5-a]pyrimidin-3-yl)benzamide
c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)C4=CC=CNC4=O	053	1-[(2-aminopyridin-4-yl)methyl]-3-(2-oxo-1,2-dihydropyridin-3-yl)-5-(trifluoromethyl)-1h-indole-2-carboxylic acid
c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)N4C(=O)c5cscc5NC4=O	054	1-[(2-aminopyridin-4-yl)methyl]-3-(2,4-dioxo-1,2-dihydrothieno[3,4-d]pyrimidin-3(4h)-yl)-5-(trifluoromethyl)-1h-indole-2-carboxylic acid
Cc1cccc(c1NC(=O)Nc2cc3ccccc3cc2C(=O)NC(c4ccccc4)C(=O)O)Cl	055	(2s)-{[(3-{[(2-chloro-6-methylphenyl)carbamoyl]amino}naphthalen-2-yl)carbonyl]amino}(phenyl)ethanoic acid
c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl	056	3-[(2,4-dichlorophenyl)methylsulfanylmethyl]benzoic acid
CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3	057	n-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1h-pyrrolo[2,3-b]pyridin-2-yl)-1h-indole-5-carboxamide
c1ccc(cc1)Cn2c3ccc(cc3c(c2C(=O)O)c4ccccc4F)Cl	058	1-benzyl-5-chloro-3-(2-fluorophenyl)-1h-indole-2-carboxylic acid
CC(C)C(NS(=O)(=O)CCc1ccccc1)P(=O)(CC(c2cccc(c2)CN)C(=O)O)O	059	(2s)-2-[3-(aminomethyl)phenyl]-3-{(s)-hydroxy[(1r)-2-methyl-1-{[(2-phenylethyl)sulfonyl]amino}propyl]phosphoryl}propanoic acid
c1cc2c(cc1c3nccc(n3)c4cc5c([nH]4)C6(CCNCC6)CNC5=O)OCO2	05B	2'-[2-(1,3-benzodioxol-5-yl)pyrimidin-4-yl]-5',6'-dihydrospiro[piperidine-4,7'-pyrrolo[3,2-c]pyridin]-4'(1'h)-one
CCCCCCC[Se]C1C(C(C(C(O1)CO)O)O)O	05L	heptyl 1-seleno-beta-d-glucopyranoside
CC1C(CNC1C(=O)O)O	05N	(3r,4r)-4-hydroxy-3-methyl-l-proline
c1cc(c(cc1CC(=O)O)Cl)Cl	05R	2-(3,4-dichlorophenyl)ethanoic acid
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC(CNCCC2)C)C(=O)N	05S	(6s)-6,15,15,18-tetramethyl-17-oxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-8,12-(metheno)[1,4,9]triazacyclotetradecino[9,8-a]indole-9-carboxamide
C1CC(CCC1CN)NC(=N)N	05T	1-[4-(aminomethyl)cyclohexyl]guanidine
CC(C)CC(C(C(C)C)O)N	05U	(3s,4s)-4-azanyl-2,6-dimethyl-heptan-3-ol
CC(C)CC(C(C(C)CO)O)N	05W	(2r,3s,4s)-4-azanyl-2,6-dimethyl-heptane-1,3-diol
CSCC(C(=O)O)N	060	s-methyl-d-cysteine
CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O	061	2-butyl-6-hydroxy-3-[2'-(1h-tetrazol-5-yl)-biphenyl-4-ylmethyl]-3h-quinazolin-4-one
c1ccc2c(c1)-c3c[n+](ccc3C2(C(=O)N4CCCC4C(=O)NCc5cc(ccc5CN)Cl)O)[O-]	062	3-aza-9-hydroxy-9-fluorenylcarbonyl-l-prolyl-2-aminomethyl-5-chlorobenzylamide, n-oxide
CC1(c2cc(c(cc2CCN1)OCCOCCNC(=O)C(CCCNC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)Oc3ccc(c(c3)F)c4ccc(cc4)C(=O)O)CC(=O)Nc5nccs5	063	4'-{[(1r)-6-{2-[2-({n~5~-[n,n'-bis(tert-butoxycarbonyl)carbamimidoyl]-n~2~-(tert-butoxycarbonyl)-l-ornithyl}amino)ethoxy]ethoxy}-1-methyl-1-{2-oxo-2-[(1,3-thiazol-2-yl)amino]ethyl}-1,2,3,4-tetrahydroisoquinolin-7-yl]oxy}-2'-fluoro[1,1'-biphenyl]-4-carboxylic acid
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)C=Cc4cccc(c4)C(=O)O	064	3-[(e)-2-(2-chloro-4-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}phenyl)ethenyl]benzoic acid
CC(C)CN(CC(C(Cc1ccccc1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5	065	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl(2s,3r)-3-hydroxy-4-(n-isobutylbenzo[d][1,3]dioxole-5-sulfonamido)-1-phenylbutan-2-ylcarbamate
Cc1cc(cc2c1ncc(c2Nc3cccc(c3)OC)C(=O)N)S(=O)(=O)c4cccc(c4)C(=O)N(C)C	066	6-{[3-(dimethylcarbamoyl)phenyl]sulfonyl}-4-[(3-methoxyphenyl)amino]-8-methylquinoline-3-carboxamide
c1cc(ccc1n2cc(nn2)C34C5=C6[Ru]5378912(C6=C74)C3C8=C9C1=C23)S(=O)(=O)N	067	p-(4-ruthenocenyl-1h-1,2,3-triazol-1-yl)benzenesulfonamide
CC(=O)c1ccc(cc1)c2ccc(cc2)CCC(CC(=O)O)O	068	(3s)-5-(4'-acetylbiphenyl-4-yl)-3-hydroxypentanoic acid
c1cc(cc(c1)O)C(=O)NO	069	n,3-dihydroxybenzamide
COc1ccc(c(c1C(=O)O)OC)Br	06B	3-bromo-2,6-dimethoxybenzoic acid
CI	06C	iodomethane
Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3cccc(c3)Nc4ccc5c(c4)CCCCC5=O	06F	1-[3-tert-butyl-1-(4-methylphenyl)-1h-pyrazol-5-yl]-3-{3-[(5-oxo-6,7,8,9-tetrahydro-5h-benzo[7]annulen-2-yl)amino]phenyl}urea
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC(C(=O)N(CCC2)C)C)C(=O)N	06H	(6s)-4,6,15,15,18-pentamethyl-5,17-dioxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-12,8-(metheno)[1,4,9]triazacyclotetradecino[9,8-a]indole-9-carboxamide
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NCC5CCCN5CCC2)C(=O)N	06J	(3ar)-13,13,16-trimethyl-15-oxo-1,2,3,3a,4,5,12,14,15,17,18,19-dodecahydro-13h-10,6-(metheno)pyrrolo[2',1':3,4][1,4,9]triazacyclotetradecino[9,8-a]indole-7-carboxamide
C[n+]1ccc(cc1)CNC(=O)C2CCCN2C(=O)C(Cc3ccccc3)N	06P	d-phenylalanyl-n-[(1-methylpyridinium-4-yl)methyl]-l-prolinamide
c1ccc2c(c1)C(=O)NC(=N2)c3ccc(cc3)C(F)(F)F	06R	2-[4-(trifluoromethyl)phenyl]-3h-quinazolin-4-one
c1nc2c(n1C3C(C(C(O3)COP(=O)(OC4C(OC(C4O)N5C=CC(=O)NC5=O)COP(=O)(O)S)S)OP(=O)(O)S)O)NC(=NC2=O)N	06S	o-[(2r,3s,4r,5r)-5-(2-amino-6-oxo-3,6-dihydro-9h-purin-9-yl)-2-({[(s)-({(2r,3s,4r,5r)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2h)-yl)-4-hydroxy-2-[(thiophosphonooxy)methyl]tetrahydrofuran-3-yl}oxy)(sulfanyl)phosphoryl]oxy}methyl)-4-hydroxytetrahydrofuran-3-yl] dihydrogen (s)-phosphorothioate
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC(C(CN(CC2)C(=O)C(C)N)C)C)C(=O)N	06T	(5r,6s)-3-(l-alanyl)-5,6,15,15,18-pentamethyl-17-oxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-12,8-(metheno)[1,5,9]triazacyclotetradecino[1,2-a]indole-9-carboxamide
CCc1c(c(nc(n1)N)N)C#CC(C)c2cc(cc(c2)OC)c3ccncc3	06U	6-ethyl-5-{(3r)-3-[3-methoxy-5-(pyridin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
CCc1c(c(nc(n1)N)N)C#CC(C)c2cc(cc(c2)OC)N3CCOCC3	06V	6-ethyl-5-{(3r)-3-[3-methoxy-5-(morpholin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
CCc1c(c(nc(n1)N)N)C#CC(C)c2cc(cc(c2)OC)c3ccncc3	06W	6-ethyl-5-{(3s)-3-[3-methoxy-5-(pyridin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN	06X	amlodipine
c1ccc(cc1)OCC(=O)O	06Y	2-phenoxyethanoic acid
c1ccc(cc1)C(=O)c2c(nc(s2)Nc3cccc(c3)F)N	06Z	{4-amino-2-[(3-fluorophenyl)amino]-1,3-thiazol-5-yl}(phenyl)methanone
c1ccc(cc1)CC2C(O2)C(C(Cc3ccccc3)N)O	070	(1r,2s)-2-azanyl-3-phenyl-1-[(2r,3r)-3-(phenylmethyl)oxiran-2-yl]propan-1-ol
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cc(ccc4OC)N5CCN(CC5)C	071	8-{[2-methoxy-5-(4-methylpiperazin-1-yl)phenyl]amino}-1-methyl-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxamide
CCCCCCCC1N(C(=O)C(S1)CC(=O)N(Cc2ccccc2)Cc3ccccc3)CCCCc4ccc(cc4)C(=O)O	072	(+/-)(2s,5s)-3-(4-(4-carboxyphenyl)butyl)-2-heptyl-4-oxo-5-thiazolidine
COC(=O)c1ccc(cc1)C(CC=Cc2ccccc2)(Cc3ccc(cc3)C(F)(F)P(=O)(O)O)n4c5ccccc5nn4	073	(4-{(2s,4e)-2-(1h-1,2,3-benzotriazol-1-yl)-2-[4-(methoxycarbonyl)phenyl]-5-phenylpent-4-enyl}phenyl)(difluoro)methylphosphonic acid
CCCNC(=O)C(CC(=O)NC(C(C)CC)C(=O)N1CCCC1C(=O)O)O	074	[propylamino-3-hydroxy-butan-1,4-dionyl]-isoleucyl-proline
CC1(C(N(CS1)C(=O)C(C(Cc2ccccc2)NC(=O)C(CS(=O)(=O)C)NC(=O)COc3cccc4c3ccnc4)O)C(=O)NC5c6ccccc6CC5O)C	075	(4r)-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-3-[(2s,3s)-2-hydroxy-3-({n-[(isoquinolin-5-yloxy)acetyl]-3-(methyl
sulfonyl)-l-alanyl}amino)-4-phenylbutanoyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
CC(C)C(C(=O)NC(Cc1ccccc1)C(C2C(O2)Cc3ccccc3)O)NC(=O)COc4ccccc4	076	(s)-n-((1r,2s)-1-((2r,3r)-3-benzyloxiran-2-yl)-1-hydroxy-3-phenylpropan-2-yl)-3-methyl-2-(2-phenoxyacetamido)butanamide
c1ccc(cc1)c2ccc(cc2)CCC(CC(=O)O)O	077	(3s)-5-biphenyl-4-yl-3-hydroxypentanoic acid
c1ccc(cc1)CC(C(C(C(Cc2ccccc2)O)N)O)N	078	(2r,3r,4r,5s)-3,5-bis(azanyl)-1,6-diphenyl-hexane-2,4-diol
CC(C)C(C(=O)NC(Cc1ccccc1)C(C(C(Cc2ccccc2)O)N)O)NC(=O)COc3ccccc3	079	(s)-n-((2s,3s,4r,5r)-4-amino-3,5-dihydroxy-1,6-diphenylhexan-2-yl)-3-methyl-2-(2-phenoxyacetamido)butanamide
COC(=O)C1CC(C(CC1C(=O)OC)O)O	07B	dimethyl (1s,2s,4s,5s)-4,5-dihydroxycyclohexane-1,2-dicarboxylate
CC(CCOC1C(C(C(CO1)O)O)O)O	07E	(3s)-3-hydroxybutyl beta-d-xylopyranoside
CC(C)(C)NC(=O)[C+](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(c(c3)F)F)C=O	07G	2-(tert-butylamino)-1-(2-carboxy-6-chloro-1h-indol-3-yl)-1-[(3,4-difluorobenzyl)(formyl)amino]-2-oxoethylium
c1ccc2c(c1)C=C(CO2)CN3CCN(CC3)C(=O)c4cccc(c4)c5ccn[nH]5	07H	[4-(2h-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1h-pyrazol-5-yl)phenyl]methanone
CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl	07J	3-(2,6-dichloro-3,5-dimethoxyphenyl)-1-(6-{[4-(4-ethylpiperazin-1-yl)phenyl]amino}pyrimidin-4-yl)-1-methylurea
Cc1cccc2c1nccc2N	07K	8-methylquinolin-4-amine
c1cc2c(cc1O)OC(=O)C=C2	07L	7-hydroxy-2h-chromen-2-one
c1cc(c(nc1)C#N)CSc2c3c(c(c(n2)O)C#N)CCOC3	07M	8-{[(2-cyanopyridin-3-yl)methyl]sulfanyl}-6-hydroxy-3,4-dihydro-1h-pyrano[3,4-c]pyridine-5-carbonitrile
Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2F)c3ncc(s3)C(=O)O)Cl)Cl	07N	2-[(3s,4r)-4-{[(3,4-dichloro-5-methyl-1h-pyrrol-2-yl)carbonyl]amino}-3-fluoropiperidin-1-yl]-1,3-thiazole-5-carboxylic acid
CC(c1ccccc1)C(=O)SCC(C(=O)O)N	07O	s-[(2s)-2-phenylpropanoyl]-l-cysteine
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(CCCCCCCC2CC2CCCCCCCCCC)O	07P	n-[(2s,3r)-10-[(1r,2r)-2-decylcyclopropyl]-1-(alpha-d-galactopyranosyloxy)-3-hydroxydecan-2-yl]hexacosanamide
CC(c1cccc(c1)OC)NC(=O)Nc2nc(cs2)c3ccncc3	07Q	1-[(1r)-1-(3-methoxyphenyl)ethyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea
c1cc(cc(c1)O)CNC(=O)Nc2nc(cs2)c3ccncc3	07R	1-[(3-hydroxyphenyl)methyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea
c1cc(cnc1)c2cnc(s2)Nc3cc(ccn3)N4CCN(CC4)CC(=O)N5CCOCC5	07S	1-(morpholin-4-yl)-2-[4-(2-{[5-(pyridin-3-yl)-1,3-thiazol-2-yl]amino}pyridin-4-yl)piperazin-1-yl]ethanone
Cn1c2cc(sc2c3c1C(=O)N(N=C3)Cc4cccc(c4)N)S(=O)C	07T	6-(3-aminobenzyl)-4-methyl-2-methylsulfinyl-4,6-dihydro-5h-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one
CC(C)(CNc1c2ccncc2cc(n1)c3ccncc3)N	07U	2-methyl-n~1~-[3-(pyridin-4-yl)-2,6-naphthyridin-1-yl]propane-1,2-diamine
CC1=CCC(CC1=O)C(=C)C	07V	(5r)-2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one
c1cc(cnc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)C(=O)O)N	07Z	4-{[4-amino-5-(pyridin-3-ylcarbonyl)-1,3-thiazol-2-yl]amino}benzoic acid
CC1(C(=O)NC(=O)O1)c2cccc(c2)CN3c4ccccc4N(C3=O)c5c6ccc(cc6on5)OC	082	(5r)-5-(3-{[3-(6-methoxy-1,2-benzoxazol-3-yl)-2-oxo-2,3-dihydro-1h-benzimidazol-1-yl]methyl}phenyl)-5-methyl-1,3-oxazolidine-2,4-dione
Cc1cc(nc(n1)C(=Nc2c3ccccc3cc(n2)c4ccccn4)N)C	083	4,6-dimethyl-n'-(3-pyridin-2-ylisoquinolin-1-yl)pyrimidine-2-carboximidamide
CC(c1ccccc1)Nc2nccc(n2)c3c(nc(n3C)C4CCNCC4)c5cccc(c5)C(F)(F)F	084	4-[5-[2-(1-phenyl-ethylamino)-pyrimidin-4-yl]-1-methyl-4-(3-trifluoromethylphenyl)-1h-imidazol-2-yl]-piperidine
c1ccnc(c1)c2c([nH]c(n2)c3ccc(cc3)C(=O)N)c4ccc5c(c4)OCO5	085	4-[5-(1,3-benzodioxol-5-yl)-4-(pyridin-2-yl)-1h-imidazol-2-yl]benzamide
Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Cl)Cl	087	2-chloro-6-(4-{[(3,4-dichloro-5-methyl-1h-pyrrol-2-yl)carbonyl]amino}piperidin-1-yl)pyridine-4-carboxamide
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc4c(c3)ccn4Cc5cccc(c5)C(=O)O	088	3-[(5-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}-1h-indol-1-yl)methyl]benzoic acid
CCn1c2ccc(c(c2nn1)C)C(CC(=O)O)c3cc(c4c(c3)CN(CC4)C(=O)c5ccccc5)C	08A	(3s)-3-[2-(benzenecarbonyl)-5-methyl-1,2,3,4-tetrahydroisoquinolin-7-yl]-3-(1-ethyl-4-methyl-1h-benzotriazol-5-yl)propanoic acid
Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(cccn3)[N+](=O)[O-])Br	08B	4-bromo-5-methyl-n-[1-(3-nitropyridin-2-yl)piperidin-4-yl]-1h-pyrrole-2-carboxamide
COc1ccc(cc1)C2=Nc3ccccc3C(=O)N2	08C	2-(4-methoxyphenyl)-3,4-dihydroquinazolin-4-one
Cc1cc(no1)NS(=O)(=O)c2ccc(cc2)N	08D	sulfamethoxazole
c1cc2c(cc1Cl)c(c(n2Cc3ccnc(c3)N)C(=O)O)C4=CC=CNC4=O	08E	1-[(2-aminopyridin-4-yl)methyl]-5-chloro-3-(2-oxo-1,2-dihydropyridin-3-yl)-1h-indole-2-carboxylic acid
CS(=O)(=O)Nc1cccc(c1)S(=O)(=O)NC(=O)c2c(c3cc(ccc3n2Cc4ccnc(c4)N)Cl)C5=CC=CNC5=O	08F	1-[(2-aminopyridin-4-yl)methyl]-5-chloro-n-({3-[(methylsulfonyl)amino]phenyl}sulfonyl)-3-(2-oxo-1,2-dihydropyridin-3-yl)-1h-indole-2-carboxamide
Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl	08H	8-chloro-1-methyl-6-phenyl-4h-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine
Cc1ncc2n1-c3ccc(cc3C(=NC2)c4ccccc4F)Cl	08J	8-chloro-6-(2-fluorophenyl)-1-methyl-4h-imidazo[1,5-a][1,4]benzodiazepine
Cc1nnc2n1-c3ccc(cc3C(=NN2C)c4ccccc4)Cl	08K	8-chloro-1,4-dimethyl-6-phenyl-4h-[1,2,4]triazolo[4,3-a][1,3,4]benzotriazepine
c1ccc(cc1)CC2C(=O)NC(C(=O)NCCC(NC(=O)C=CC(=O)NC(C(=O)N2)CC3CCCCC3)C(=O)O)CCCNC(=O)c4cnccn4	08L	(2s,5s,8s,13s,16z)-5-benzyl-2-(cyclohexylmethyl)-3,6,9,15,18-pentaoxo-8-{3-[(pyrazin-2-ylcarbonyl)amino]propyl}-1,4,7,10,14-pentaazacyclooctadec-16-ene-13-carboxylic acid
c1cnc(cn1)C(=O)NCCCC(C(=O)O)N	08M	n~5~-(pyrazin-2-ylcarbonyl)-l-ornithine
C(C(C(=O)O)NC(=O)C(=O)O)S	08P	n-(carboxycarbonyl)-d-cysteine
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(NCCS)O)O	08Q	5'-o-{(s)-hydroxy[(2-sulfanylethyl)amino]phosphoryl}thymidine
Cc1cc(nc(c1)N)CC2CNCC2OCCNCc3ccccc3OC	08R	6-{[(3s,4s)-4-{2-[(2-methoxybenzyl)amino]ethoxy}pyrrolidin-3-yl]methyl}-4-methylpyridin-2-amine
CC(C)c1nnc(s1)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3c(c4ccc(cc4s3)F)Cl	08S	3-chloro-6-fluoro-n-[2-[4-[(5-propan-2-yl-1,3,4-thiadiazol-2-yl)sulfamoyl]phenyl]ethyl]-1-benzothiophene-2-carboxamide
[Be](OP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)O)(F)(F)F	08T	[[[(2r,3s,4r,5r)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-tris(fluoranyl)beryllium 
CNC(=O)c1cn(cn1)c2cc3c(cc2C(F)(F)F)NC(=O)N(C3=O)NS(=O)(=O)C	08W	n-methyl-1-{3-[(methylsulfonyl)amino]-2,4-dioxo-7-(trifluoromethyl)-1,2,3,4-tetrahydroquinazolin-6-yl}-1h-imidazole-4-carboxamide
c1ccc(cc1)C=CCC2C(=O)NC(C(=O)NC(C(=O)NCCC(NC(=O)C=CC(=O)N2)C(=O)N)CCCNC(=O)c3cnccn3)CC4CCCCC4	08X	(2s,5s,8s,13s,16z)-5-(cyclohexylmethyl)-3,6,9,15,18-pentaoxo-2-(3-phenylprop-2-en-1-yl)-8-{3-[(pyrazin-2-ylcarbonyl)amino]propyl}-1,4,7,10,14-pentaazacyclooctadec-16-ene-13-carboxamide
CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O	08Y	bromoergocryptine
c1cc(cnc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)C(=O)N)N	08Z	4-{[4-amino-5-(pyridin-3-ylcarbonyl)-1,3-thiazol-2-yl]amino}benzamide
COc1ccc2c(c1OC)nc([n+]3c2[nH]cc3)NC(=O)c4cccnc4	090	n-(2,3-dihydro-7,8-dimethoxyimidazo[1,2-c] quinazolin-5-yl)nicotinamide
c1ccc2c(c1)C3(CCNC3)C(=O)N2	091	(3s)-spiro[indole-3,3'-pyrrolidin]-2(1h)-one
COC(=O)C1CC2(CN1)c3ccccc3NC2=O	092	methyl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
CC1=C(SC(=NC(=O)C)N1)c2ccc(c(c2)S(=O)(=O)NCCO)Cl	093	n-(5-(4-chloro-3-(2-hydroxy-ethylsulfamoyl)- phenylthiazole-2-yl)-acetamide
c1cc(c(c(c1)Cl)N2c3cc(c(nc3CNC2=O)Sc4ccc(cc4F)F)C5=CCNCC5)Cl	094	1-(2,6-dichlorophenyl)-6-[(2,4-difluorophenyl)sulfanyl]-7-(1,2,3,6-tetrahydro-4-pyridinyl)-3,4-dihydropyrido[3,2-d]pyrimidin-2(1h)-one
c1ccc2c(c1)C3(CC(NC3)C(=O)OC4CCOCC4)C(=O)N2	095	tetrahydro-2h-pyran-4-yl (3s,5'r)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
CN1CCN(CC1)CCCc2cc(c(cc2C3N(C(=O)CS3)c4cccnc4)OC)O	096	(2r)-2-{4-hydroxy-5-methoxy-2-[3-(4-methylpiperazin-1-yl)propyl]phenyl}-3-pyridin-3-yl-1,3-thiazolidin-4-one
